index,0,1,2,3,4,5,6,7,8,9
CAMPING,50,79,119,28,96,55,70,196,51,44
HIKING,37,76,93,20,67,41,50,143,47,38
FISHING,39,49,94,21,74,35,52,153,43,35
BOATING,32,21,41,14,46,15,43,90,21,22
BIKING,16,32,50,8,43,18,31,67,21,16
SWIMMING SITE,21,14,22,8,23,14,22,51,17,14
INTERPRETIVE PROGRAMS,6,14,10,4,9,10,6,17,11,13
WILDLIFE VIEWING,16,53,52,9,23,23,19,64,21,10
WATER SPORTS,14,5,14,8,16,5,21,38,11,10
DAY USE AREA,8,13,14,4,13,12,7,30,8,9
VISITOR CENTER,4,11,6,1,7,5,3,19,7,7
HORSEBACK RIDING,2,18,13,3,14,7,12,12,4,7
HISTORIC & CULTURAL SITE,6,16,15,4,6,15,4,11,7,6
PICNICKING,7,8,14,3,5,7,4,21,6,6
MOUNTAIN BIKING,4,11,10,2,11,8,2,17,2,4
PHOTOGRAPHY,4,5,4,1,3,8,4,7,2,3
WINTER SPORTS,1,7,1,0,3,0,1,5,2,3
HUNTING,2,23,20,1,16,10,10,30,6,2
BIRDING,8,19,19,3,6,13,5,25,6,2
BACKPACKING,0,2,0,0,2,4,0,7,1,2
RANGER STATION,1,1,0,1,0,1,1,5,1,2
INFORMATION SITE,0,0,2,1,1,3,0,2,1,2
CLIMBING,0,4,3,1,2,1,0,2,1,2
OTHER RECREATION CONCESSION SITE,0,1,0,0,0,2,0,2,0,2
SWIMMING,9,6,22,3,16,4,8,32,8,1
WATER ACCESS,4,4,11,2,5,3,2,16,7,1
CANOEING,5,7,10,2,8,3,6,18,3,1
BERRY PICKING,2,10,6,0,0,3,2,4,2,1
STAR GAZING,2,8,4,0,3,3,1,4,2,1
SAILING,1,3,0,1,0,2,4,3,2,1
NON-MOTORIZED BOATING,2,5,5,0,4,1,2,9,1,1
SEA KAYAKING,0,0,0,1,0,1,0,2,1,1
SNORKELING,1,0,0,0,0,1,1,1,1,1
GUIDED INTERPRETIVE WALKS,1,0,0,1,0,1,0,1,1,1
PADDLE BOATING,1,1,1,0,0,1,0,5,0,1
WILDERNESS,2,1,2,1,0,5,1,3,0,1
WHITEWATER RAFTING,1,2,1,0,2,0,1,1,0,1
CROSS COUNTRY SKIING,1,1,2,0,0,2,0,0,0,1
BIRD WATCHING,0,1,0,0,0,0,0,0,0,1
SNOWMOBILE TRAILS,0,0,0,0,0,0,0,0,0,1
KAYAKING,3,4,4,1,12,1,4,14,5,0
WATER ACTIVITIES,2,6,2,0,6,2,2,11,5,0
WHALE WATCHING,0,0,0,0,0,1,0,1,2,0
BEACHCOMBING,2,0,0,2,0,1,5,0,2,0
SCENIC DRIVE,1,4,4,0,7,2,0,14,1,0
WATER SKIING,2,0,2,0,0,1,2,8,1,0
MOTOR BOAT,1,2,1,1,1,1,1,6,1,0
PADDLING,2,3,0,0,1,1,2,5,1,0
JET SKIING,0,0,0,1,0,0,0,4,1,0
FIRE LOOKOUTS/CABINS OVERNIGHT,0,1,1,0,1,2,1,1,1,0
SAILBOARDING,0,0,1,0,0,0,1,1,1,0
TUBING,0,0,1,0,1,1,0,1,1,0
SCUBA DIVING,0,0,0,0,0,1,0,1,1,0
OFF HIGHWAY VEHICLE TRAILS,0,0,1,0,5,0,0,1,1,0
SOFTBALL FIELDS,0,0,0,0,0,0,0,1,1,0
CULTURAL ACTIVITIES,0,0,2,0,0,0,0,0,1,0
 ALL TERRAIN/OHV,0,0,0,0,0,0,0,0,1,0
 DIFFICULT HIKING,0,0,0,0,0,0,0,0,1,0
 HORSE,0,0,0,0,0,0,0,0,1,0
BOAT RENTAL,0,0,0,0,0,0,0,0,1,0
GOLF,0,0,0,0,0,0,0,0,1,0
GONDOLA RIDES,0,0,0,0,0,0,0,0,1,0
TRAILS,0,0,0,0,0,0,0,0,1,0
FISH HATCHERY,0,2,2,0,0,0,0,5,0,0
RECREATIONAL VEHICLES,0,0,1,0,0,0,0,4,0,0
OFF ROAD VEHICLE TRAILS,3,0,2,1,1,1,6,3,0,0
HORSE CAMPING,0,0,1,0,0,0,3,3,0,0
AMPHITHEATER,1,3,1,1,1,3,0,3,0,0
HISTORIC SITES,0,4,2,0,0,2,0,3,0,0
EVENING PROGRAMS,0,2,0,0,0,2,0,3,0,0
ROCK CLIMBING,0,0,1,0,0,1,0,2,0,0
ENVIRONMENTAL EDUCATION,0,0,0,0,0,0,0,2,0,0
MOUNTAIN CLIMBING,0,0,1,0,2,1,0,1,0,0
CRAWFISHING,0,3,1,0,0,1,0,1,0,0
ACCESSIBLE SWIMMING,0,0,0,0,0,1,0,1,0,0
FISH VIEWING SITE,0,0,0,0,0,1,0,1,0,0
RAFTING,0,2,1,0,3,0,0,1,0,0
GOLD PANNING,0,0,2,0,1,0,0,1,0,0
HOTEL/LODGE/RESORT PRIVATELY OWNED,0,2,1,0,1,0,0,1,0,0
OBSERVATION SITE,0,1,0,0,1,0,0,1,0,0
OFF HIGHWAY VEHICLE,0,2,2,0,0,0,0,1,0,0
EDUCATIONAL PROGRAMS,1,0,1,0,0,0,0,1,0,0
AUTO TOURING,0,0,1,0,0,0,0,1,0,0
DISC GOLF,0,0,0,0,0,0,0,1,0,0
MARINA,0,0,0,0,0,0,0,1,0,0
RECREATION PROGRAMS,0,0,0,0,0,0,0,1,0,0
BEACH CAMPING,0,0,0,0,0,0,1,0,0,0
SNOWSHOEING,1,0,3,0,0,3,0,0,0,0
MUSHROOM PICKING,2,0,1,0,1,2,0,0,0,0
LOOKOUT TOWER,0,0,0,0,1,1,0,0,0,0
SKIING,0,0,2,0,0,1,0,0,0,0
SNOWMOBILE,1,0,0,0,0,1,0,0,0,0
WILD HORSE VIEWING,0,1,0,0,0,1,0,0,0,0
HOTEL/LODGE/RESORT FS OWNED,0,0,0,0,0,1,0,0,0,0
RIVER TRIPS,0,0,0,0,1,0,0,0,0,0
SLEDDING,0,0,2,0,0,0,0,0,0,0
SNOWMOBILING,0,1,1,0,0,0,0,0,0,0
ICE CLIMBING,0,0,1,0,0,0,0,0,0,0
WOOD CUTTING,1,0,0,0,0,0,0,0,0,0
HIKING TRAIL,0,1,0,0,0,0,0,0,0,0
PICNIC TABLES,0,1,0,0,0,0,0,0,0,0
STARGAZING,0,1,0,0,0,0,0,0,0,0